x,MeanCluster6,MeanCluster5,MeanCluster4,MeanCluster3,MeanCluster2,MeanCluster1
0.569,0.31355,0.3727,0.285472,0.2430625,0.171933333,0.1099
0.57,0.3147,0.37401,0.287144,0.2444125,0.173277778,0.111
0.571,0.31575,0.37542,0.28878,0.2457125,0.174588889,0.1121
0.572,0.31695,0.3767,0.290408,0.247,0.176044444,0.1134
0.573,0.3181,0.37805,0.292048,0.2483375,0.177511111,0.1147
0.574,0.3192,0.37947,0.293688,0.2497,0.178988889,0.116
0.575,0.3203,0.38084,0.2953,0.251,0.180366667,0.1173
0.576,0.3213,0.38215,0.296832,0.2521625,0.181711111,0.1185
0.577,0.3223,0.38344,0.298368,0.253375,0.182977778,0.1195
0.578,0.32335,0.38474,0.299936,0.2547125,0.184188889,0.1203
0.579,0.32445,0.38616,0.301412,0.2559375,0.185722222,0.1217
0.58,0.3255,0.38748,0.302896,0.2571375,0.187077778,0.1232
0.581,0.32645,0.38868,0.304332,0.2583125,0.188233333,0.1244
0.582,0.32725,0.38981,0.30572,0.2593375,0.189355556,0.1252
0.583,0.3282,0.39096,0.307104,0.2605,0.190522222,0.1262
0.584,0.32915,0.39212,0.308468,0.2616875,0.191822222,0.1273
0.585,0.33005,0.39311,0.309784,0.262775,0.193044444,0.1285
0.586,0.33105,0.39417,0.311024,0.2637875,0.194133333,0.1297
0.587,0.33195,0.39525,0.31222,0.2647625,0.195188889,0.1308
0.588,0.3326,0.39627,0.3134,0.265775,0.196277778,0.1315
0.589,0.3334,0.39738,0.314624,0.2667875,0.197466667,0.1327
0.59,0.33425,0.3984,0.315832,0.2678,0.198533333,0.1338
0.591,0.33515,0.39927,0.316968,0.2688,0.199366667,0.1349
0.592,0.33565,0.40016,0.317976,0.26965,0.200411111,0.1355
0.593,0.3363,0.4011,0.319044,0.2705375,0.201477778,0.1362
0.594,0.33715,0.40205,0.320164,0.2714625,0.202533333,0.1369
0.595,0.33805,0.40298,0.321284,0.27245,0.203355556,0.1381
0.596,0.33895,0.40394,0.322356,0.2734125,0.204288889,0.1391
0.597,0.3398,0.40491,0.323412,0.274325,0.205277778,0.14
0.598,0.3405,0.40591,0.32446,0.2752375,0.206311111,0.1406
0.599,0.3415,0.40684,0.32552,0.2761375,0.2072,0.1416
