x,01_Soil,02_Dry_bush,03_Soil,04_Very_green_bush,05_Soil_with_crust,06_Soil_without_crust,07_Desert_pink_flowers,08_Brown_thorns,09_Very_dry_grass,10_Mix_of_soil_and_crust,11_Dense_desert_pink_flowers,12_Soil_with_crust,13_Rock_and_stones,14_Small_stones,15_Green-light_blue_bush,16_Very_dry_grass,17_Greenish_thorns,18_Bush,19_Sparse_dry_grass,20_Soil_with_crust,21_Acacia
0.5112 ,0.131200000,0.128325000,0.334066667,0.099266667,0.325033333,0.256650000,0.171266667,0.100166667,0.150066667,0.274200000,0.110233333,0.331200000,0.338325000,0.492200000,0.105533333,0.116200000,0.096233333,0.160350000,0.174600000,0.304133333,0.093720000
0.5127 ,0.132266667,0.129025000,0.336300000,0.100133333,0.327133333,0.258700000,0.172666667,0.100933333,0.151366667,0.276366667,0.111266667,0.333433333,0.340350000,0.493550000,0.106933333,0.117166667,0.097333333,0.161450000,0.176233333,0.306200000,0.095340000
0.5141 ,0.133200000,0.129625000,0.338400000,0.101000000,0.329166667,0.260700000,0.173900000,0.101666667,0.152533333,0.278466667,0.112166667,0.335533333,0.342325000,0.494875000,0.108266667,0.118066667,0.098400000,0.162500000,0.177800000,0.308166667,0.097000000
0.5155 ,0.134300000,0.130325000,0.340800000,0.102033333,0.331333333,0.262900000,0.175433333,0.102500000,0.153866667,0.280800000,0.113266667,0.337933333,0.344525000,0.496275000,0.109866667,0.119066667,0.099566667,0.163675000,0.179500000,0.310300000,0.098880000
0.5169 ,0.135433333,0.131100000,0.343366667,0.103166667,0.333766667,0.265200000,0.177000000,0.103400000,0.155333333,0.283133333,0.114400000,0.340333333,0.346725000,0.497950000,0.111566667,0.120200000,0.100800000,0.164900000,0.181266667,0.312766667,0.100900000
0.5183 ,0.136766667,0.132025000,0.346200000,0.104466667,0.336566667,0.267750000,0.178900000,0.104433333,0.156866667,0.285700000,0.115666667,0.342866667,0.349100000,0.499900000,0.113600000,0.121366667,0.102200000,0.166250000,0.183233333,0.315433333,0.103120000
0.5197 ,0.137933333,0.132675000,0.348633333,0.105633333,0.338933333,0.269975000,0.180400000,0.105300000,0.158233333,0.287866667,0.116733333,0.345100000,0.351125000,0.501625000,0.115566667,0.122400000,0.103466667,0.167525000,0.185000000,0.317900000,0.105340000
0.5211 ,0.138766667,0.133225000,0.350700000,0.106700000,0.340833333,0.271850000,0.181566667,0.106000000,0.159300000,0.289833333,0.117633333,0.347066667,0.352925000,0.502875000,0.117333333,0.123233333,0.104600000,0.168575000,0.186400000,0.319800000,0.107400000
0.5225 ,0.139800000,0.133875000,0.353133333,0.107833333,0.343000000,0.273975000,0.182933333,0.106766667,0.160500000,0.292033333,0.118666667,0.349300000,0.354950000,0.504325000,0.119266667,0.124166667,0.105766667,0.169700000,0.188033333,0.322033333,0.109600000
0.5239 ,0.140700000,0.134425000,0.355266667,0.108900000,0.344933333,0.275950000,0.184100000,0.107433333,0.161566667,0.294066667,0.119533333,0.351333333,0.356850000,0.505575000,0.121100000,0.125000000,0.106833333,0.170800000,0.189533333,0.323933333,0.111740000
0.5253 ,0.141566667,0.134950000,0.357366667,0.110000000,0.346900000,0.277925000,0.185300000,0.108133333,0.162700000,0.296166667,0.120466667,0.353500000,0.358800000,0.506775000,0.122833333,0.125833333,0.107866667,0.171925000,0.190966667,0.325933333,0.113860000
0.5268 ,0.142566667,0.135550000,0.359766667,0.111133333,0.349166667,0.280075000,0.186566667,0.108900000,0.163900000,0.298366667,0.121400000,0.355633333,0.360775000,0.508250000,0.124700000,0.126733333,0.108866667,0.173100000,0.192600000,0.328233333,0.116020000
0.5282 ,0.143566667,0.136125000,0.362266667,0.112300000,0.351500000,0.282325000,0.187866667,0.109700000,0.165100000,0.300566667,0.122366667,0.357833333,0.362775000,0.509800000,0.126533333,0.127666667,0.109833333,0.174375000,0.194266667,0.330666667,0.118180000
0.5296 ,0.144233333,0.136475000,0.363933333,0.113300000,0.353400000,0.284350000,0.188933333,0.110433333,0.166166667,0.302600000,0.123200000,0.359733333,0.364500000,0.511125000,0.128166667,0.128533333,0.110700000,0.175500000,0.195800000,0.332633333,0.120160000
0.5310 ,0.145333333,0.137275000,0.366666667,0.114366667,0.356000000,0.286950000,0.190666667,0.111400000,0.167700000,0.305366667,0.124400000,0.362533333,0.367100000,0.512675000,0.129766667,0.129500000,0.111700000,0.176675000,0.197600000,0.334966667,0.122080000
0.5324 ,0.147133333,0.138625000,0.370666667,0.115933333,0.359600000,0.290400000,0.193300000,0.112766667,0.169833333,0.308966667,0.126100000,0.366200000,0.370525000,0.515100000,0.131733333,0.131000000,0.112933333,0.178525000,0.200133333,0.338433333,0.124300000
0.5338 ,0.149100000,0.140150000,0.375233333,0.117433333,0.363333333,0.293975000,0.196033333,0.114166667,0.172000000,0.312600000,0.127800000,0.369966667,0.374000000,0.517650000,0.133566667,0.132433333,0.114166667,0.180425000,0.202700000,0.342133333,0.126540000
0.5352 ,0.150633333,0.141200000,0.378733333,0.118700000,0.366566667,0.297025000,0.198200000,0.115366667,0.173766667,0.315766667,0.129233333,0.373166667,0.376925000,0.519775000,0.135133333,0.133700000,0.115166667,0.182025000,0.204966667,0.345333333,0.128520000
