 x , Cluster6 , Cluster5 , Cluster4 , Cluster3 , Cluster2 , Cluster1 
0.755,0.521384675,0.450648636,0.432791957,0.381502656,0.3000875,0.219475796
0.7575,0.522575992,0.451802022,0.434242222,0.384127377,0.301189293,0.220292141
0.76,0.523694419,0.4529743,0.435477944,0.386267366,0.302255619,0.22125005
0.7625,0.524728213,0.454262846,0.436505382,0.386552181,0.303140195,0.222063505
0.765,0.525761234,0.4557331,0.437479399,0.386784736,0.303884109,0.222686307
0.7675,0.526809913,0.457331859,0.438432614,0.387835466,0.30474278,0.223353153
0.77,0.52781468,0.458849078,0.439226032,0.389138404,0.305805125,0.224153783
0.7725,0.528860257,0.460176321,0.439846249,0.390248604,0.306892423,0.224924653
0.775,0.530089956,0.461415091,0.440536295,0.391135394,0.307933163,0.225574171
0.7775,0.531534536,0.462633921,0.44144199,0.391874745,0.308926782,0.226218766
0.78,0.533153308,0.463754884,0.442381022,0.392703539,0.309873395,0.226926571
0.7825,0.534849693,0.464713544,0.44315502,0.393772422,0.310773116,0.227527826
0.785,0.536321889,0.465584841,0.443704342,0.394811265,0.311617811,0.227867514
0.7875,0.537302182,0.466465717,0.44404693,0.395558674,0.312362224,0.22806562
0.79,0.537967291,0.467395532,0.444444607,0.396333638,0.312962255,0.228312252
0.7925,0.538624966,0.468377967,0.445190472,0.397559534,0.313449487,0.228750621
0.795,0.539435986,0.469287488,0.44617489,0.398938762,0.313891668,0.229476176
0.7975,0.540470835,0.469963846,0.447118657,0.399883702,0.314412984,0.230303028
0.8,0.541555348,0.470569908,0.448009845,0.400448708,0.315156523,0.23090669
0.8025,0.542372169,0.471461374,0.449005046,0.401100218,0.316070656,0.231260887
0.805,0.542967818,0.472574046,0.450079337,0.402021491,0.316977569,0.231569382
0.8075,0.543716854,0.473467389,0.45104444,0.403127854,0.31779684,0.231950381
0.81,0.544759115,0.474067359,0.451896671,0.404238922,0.318473063,0.232423085
0.8125,0.545924579,0.474773613,0.452826097,0.405069293,0.318952083,0.232957743
0.815,0.547034635,0.475679095,0.453723168,0.405565031,0.319283505,0.233459817
0.8175,0.547930244,0.47634767,0.454346149,0.406085089,0.319681932,0.233870753
0.82,0.548573962,0.476858339,0.454613829,0.406855107,0.320224987,0.234216442
0.8225,0.549219187,0.47762829,0.454836216,0.407676483,0.320893789,0.234554243
0.825,0.550042068,0.478861933,0.455249457,0.408361288,0.321584572,0.235002659
0.8275,0.550800935,0.480011303,0.455631792,0.408977608,0.322125372,0.235609534
0.83,0.551251954,0.480544473,0.455756791,0.409624923,0.322406525,0.236083181
0.8325,0.551592045,0.48082281,0.455869619,0.410282787,0.322639386,0.23614598
0.835,0.552099719,0.481406212,0.456295684,0.410907769,0.323086065,0.236133196
0.8375,0.552647744,0.482273832,0.45687491,0.41156111,0.323650043,0.236378499
0.84,0.552965445,0.483160131,0.457265033,0.412334101,0.324096423,0.236796768
0.8425,0.553177514,0.483933615,0.457481116,0.413139733,0.324412566,0.237258506
0.845,0.553633197,0.484551142,0.457749444,0.413791428,0.324723587,0.237674702
0.8475,0.554331155,0.485055482,0.458121922,0.414288815,0.325151116,0.238079657
0.85,0.5549751,0.485558888,0.458517815,0.414787733,0.325689968,0.238529946
