seed,run_index,parent_run_index,run_overrides,metric,dominance,sunsal,vpgdu,gbm,mlp,kan
0,5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,0,0.141538,0.145896,0.140702,0.103053,0.104821
0,5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,1,0.119549,0.121454,0.117077,0.147675,0.122058
0,5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,2,0.132609,0.134854,0.131708,0.141821,0.135161
0,5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,0,0.044323,0.044809,0.044334,0.045078,0.044585
0,5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,1,0.044263,0.044834,0.044276,0.044943,0.044573
0,5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,2,0.044195,0.044585,0.044206,0.045060,0.044446
1,5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,0,0.139354,0.142186,0.138527,0.101032,0.105247
1,5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,1,0.112585,0.117645,0.109035,0.133766,0.142840
1,5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,2,0.140776,0.140279,0.138004,0.130775,0.132980
1,5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,0,0.044408,0.044893,0.044416,0.045136,0.044810
1,5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,1,0.044417,0.044819,0.044425,0.045154,0.044967
1,5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,2,0.044487,0.045119,0.044513,0.045524,0.044955
2,5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,0,0.137188,0.142671,0.136508,0.103237,0.103353
2,5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,1,0.106362,0.118126,0.104298,0.147991,0.134241
2,5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,2,0.134092,0.151374,0.132460,0.139619,0.139921
2,5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,0,0.044363,0.044865,0.044370,0.044942,0.044683
2,5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,1,0.044364,0.044794,0.044370,0.045124,0.044784
2,5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,2,0.044298,0.044681,0.044303,0.044775,0.044685
3,5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,0,0.141245,0.142449,0.140424,0.100694,0.103833
3,5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,1,0.130259,0.137381,0.128637,0.145534,0.159200
3,5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,2,0.143817,0.143116,0.143106,0.137743,0.142550
3,5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,0,0.044304,0.044776,0.044314,0.044990,0.044638
3,5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,1,0.044391,0.044786,0.044402,0.045363,0.044801
3,5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,2,0.044227,0.044716,0.044244,0.045032,0.044810
4,5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,0,0.141160,0.141823,0.140250,0.103493,0.101701
4,5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,1,0.108796,0.115312,0.107615,0.159082,0.145890
4,5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,2,0.138169,0.142561,0.136408,0.140028,0.138480
4,5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,0,0.044352,0.044798,0.044361,0.044887,0.044590
4,5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,1,0.044471,0.044923,0.044480,0.045263,0.044969
4,5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,2,0.044419,0.044853,0.044427,0.045142,0.044751
0,6,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,0,0.175876,0.147652,0.169308,0.102002,0.100019
0,6,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,1,0.128504,0.126549,0.123216,0.167889,0.150389
0,6,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,2,0.159550,0.136903,0.151119,0.137799,0.139401
0,6,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,0,0.045280,0.048063,0.045595,0.046645,0.046493
0,6,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,1,0.045329,0.046772,0.045464,0.046312,0.046423
0,6,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,2,0.045249,0.047278,0.045484,0.046336,0.046530
1,6,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,0,0.180571,0.147237,0.174608,0.101451,0.102837
1,6,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,1,0.136251,0.127397,0.131278,0.142948,0.156632
1,6,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,2,0.178211,0.145115,0.172432,0.132430,0.142552
1,6,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,0,0.045385,0.048298,0.045697,0.046932,0.047011
1,6,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,1,0.045405,0.047109,0.045526,0.046599,0.046832
1,6,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,2,0.045325,0.047903,0.045692,0.046909,0.046856
2,6,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,0,0.171669,0.147275,0.165291,0.101480,0.102195
2,6,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,1,0.149530,0.142318,0.145513,0.150116,0.154052
2,6,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,2,0.178926,0.155801,0.171239,0.131808,0.137546
2,6,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,0,0.045349,0.048654,0.045634,0.046711,0.046868
2,6,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,1,0.045365,0.047309,0.045548,0.046457,0.046650
2,6,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,2,0.045312,0.048515,0.045598,0.046721,0.046654
3,6,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,0,0.177747,0.152067,0.172147,0.102047,0.101706
3,6,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,1,0.125962,0.120470,0.119044,0.156902,0.159695
