run_index,parent_run_index,run_overrides,pixel_index,source,abundance_rmse,reconstruction_rmse,endmember_1,endmember_2,endmember_3,endmember_4,endmember_5,endmember_6
11,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=30.0",2352,true,0.000000,0.013755,0.411067,0.003839,0.108163,0.373641,0.068142,0.035147
11,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=30.0",2352,gbm,0.086593,0.013765,0.298348,0.150898,0.053137,0.316042,0.082303,0.099273
11,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=30.0",2352,kan,0.068680,0.014248,0.363169,0.097032,0.071897,0.267719,0.109738,0.090444
11,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=30.0",2352,mlp,0.132979,0.013990,0.267734,0.195281,0.104974,0.180055,0.128868,0.123087
11,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=30.0",2352,sunsal,0.083695,0.013741,0.302100,0.147824,0.056924,0.318457,0.079316,0.095379
11,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=30.0",2352,vpgdu,0.130949,0.013800,0.251921,0.218312,0.013271,0.267377,0.158805,0.090314
11,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=30.0",6693,true,0.000000,0.013623,0.297797,0.037759,0.246774,0.069327,0.153654,0.194689
11,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=30.0",6693,gbm,0.047526,0.013636,0.293084,0.054411,0.245155,0.000157,0.241106,0.166087
11,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=30.0",6693,kan,0.056717,0.013643,0.235230,0.114972,0.177420,0.064809,0.220952,0.186617
11,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=30.0",6693,mlp,0.095668,0.014044,0.199910,0.148235,0.108002,0.181477,0.185107,0.177270
11,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=30.0",6693,sunsal,0.047830,0.013616,0.295286,0.054100,0.247209,-0.000055,0.240877,0.162583
11,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=30.0",6693,vpgdu,0.033343,0.013637,0.332206,0.004570,0.292607,0.021992,0.149105,0.199519
12,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=30.0",525,true,0.000000,0.017526,0.239203,0.245714,0.102715,0.276359,0.079979,0.056030
12,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=30.0",525,gbm,0.121044,0.014261,0.079102,0.361701,0.000855,0.465449,0.088119,0.004775
12,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=30.0",525,kan,0.042976,0.024221,0.265143,0.163320,0.155509,0.255984,0.100025,0.060020
12,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=30.0",525,mlp,0.070079,0.019457,0.153471,0.276647,0.206240,0.180194,0.109587,0.073861
12,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=30.0",525,sunsal,0.121954,0.014097,0.081756,0.368352,0.000417,0.465249,0.085083,-0.000857
12,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=30.0",525,vpgdu,0.090958,0.020320,0.264944,0.102479,0.158967,0.422903,0.046919,0.003788
12,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=30.0",8418,true,0.000000,0.015516,0.052000,0.047350,0.062140,0.213181,0.280269,0.345059
12,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=30.0",8418,gbm,0.116059,0.014229,0.001202,0.100680,0.000524,0.181720,0.507898,0.207977
