seed,run_index,parent_run_index,run_overrides,metric,sunsal,vpgdu,gbm,mlp,kan
1,14,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=inf",reconstruction_rmse,0.001722,0.013656,0.004913,0.012325,0.011002
2,14,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=inf",abundance_rmse,0.115086,0.066929,0.105562,0.077995,0.042751
2,14,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=inf",reconstruction_rmse,0.001701,0.014026,0.004780,0.012366,0.009010
3,14,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=inf",abundance_rmse,0.116564,0.068397,0.106524,0.091325,0.035409
3,14,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=inf",reconstruction_rmse,0.001723,0.014209,0.004871,0.013354,0.010490
4,14,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=inf",abundance_rmse,0.116389,0.069208,0.106969,0.077623,0.035229
4,14,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=inf",reconstruction_rmse,0.001728,0.012282,0.004895,0.013853,0.008687
0,15,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=inf",abundance_rmse,0.005696,0.051193,0.006269,0.067916,0.029706
0,15,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=inf",reconstruction_rmse,0.000024,0.001443,0.000519,0.009509,0.005992
1,15,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=inf",abundance_rmse,0.005519,0.053960,0.005947,0.078508,0.036296
1,15,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=inf",reconstruction_rmse,0.000023,0.007630,0.000526,0.007692,0.006961
2,15,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=inf",abundance_rmse,0.005648,0.053782,0.006160,0.064747,0.029094
2,15,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=inf",reconstruction_rmse,0.000024,0.007430,0.000516,0.008362,0.005238
3,15,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=inf",abundance_rmse,0.005647,0.056918,0.006235,0.087000,0.026769
3,15,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=inf",reconstruction_rmse,0.000024,0.007127,0.000523,0.009492,0.005449
4,15,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=inf",abundance_rmse,0.005590,0.059522,0.006125,0.081815,0.019154
4,15,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=inf",reconstruction_rmse,0.000024,0.007155,0.000520,0.008790,0.004282
0,16,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=inf",abundance_rmse,0.130435,0.070698,0.120497,0.094905,0.036843
0,16,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=inf",reconstruction_rmse,0.001802,0.014726,0.005210,0.010050,0.010144
1,16,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=inf",abundance_rmse,0.125221,0.073169,0.114926,0.067262,0.035392
1,16,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=inf",reconstruction_rmse,0.001813,0.016745,0.005351,0.012494,0.010167
2,16,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=inf",abundance_rmse,0.125372,0.068370,0.114762,0.066203,0.028887
2,16,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=inf",reconstruction_rmse,0.001804,0.014746,0.005296,0.012643,0.009406
3,16,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=inf",abundance_rmse,0.124644,0.069400,0.114490,0.085024,0.038880
3,16,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=inf",reconstruction_rmse,0.001826,0.016995,0.005349,0.011645,0.010640
4,16,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=inf",abundance_rmse,0.126148,0.067249,0.115054,0.073693,0.038474
4,16,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=inf",reconstruction_rmse,0.001806,0.012692,0.005447,0.012281,0.010415
0,17,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=inf",abundance_rmse,0.006712,0.052963,0.007331,0.075655,0.017426
0,17,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=inf",reconstruction_rmse,0.000027,0.001854,0.000630,0.004261,0.004882
1,17,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=inf",abundance_rmse,0.006539,0.055122,0.007125,0.100698,0.019904
1,17,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=inf",reconstruction_rmse,0.000026,0.001480,0.000628,0.004534,0.004207
2,17,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=inf",abundance_rmse,0.006501,0.057005,0.007098,0.076617,0.018365
2,17,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=inf",reconstruction_rmse,0.000026,0.001746,0.000624,0.003908,0.004514
3,17,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=inf",abundance_rmse,0.006715,0.053979,0.007287,0.075523,0.030936
3,17,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=inf",reconstruction_rmse,0.000027,0.002412,0.000634,0.004867,0.006408
4,17,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=inf",abundance_rmse,0.006773,0.059624,0.007346,0.100138,0.027563
4,17,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=inf",reconstruction_rmse,0.000027,0.010399,0.000626,0.005167,0.006106
0,18,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=inf",abundance_rmse,0.146727,0.071572,0.134555,0.099742,0.037410
0,18,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=inf",reconstruction_rmse,0.002030,0.014741,0.006045,0.010241,0.011163
1,18,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=inf",abundance_rmse,0.143647,0.074004,0.131577,0.101259,0.034145
1,18,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=inf",reconstruction_rmse,0.002015,0.014625,0.006098,0.011502,0.010975
2,18,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=inf",abundance_rmse,0.145299,0.071409,0.133150,0.098114,0.029837
